FOLIO;CONCEPTO;NUMEROABONO;IMPORTE;FECHAOPERACION;OBSERVACIONES;HIPERVINCULO
1;ESTIMACIÓN;01;1000;1/1/2023;EST 01;-
1;ESTIMACIÓN;02;2000;2/2/2023;EST 02;-
1;ESTIMACIÓN;03;3000;3/3/2023;EST 03;-
1;ESTIMACIÓN;04;4000;4/4/2023;EST 04;-
1;ESTIMACIÓN;05;5000;5/5/2023;EST 05;-
1;ABONO A ESTIMACIÓN;01;925.67;11/1/2023;EST 01;-
1;ABONO A ESTIMACIÓN;02;1851.34;12/2/2023;EST 02;-
1;ABONO A ESTIMACIÓN;03;2777.01;13/3/2023;EST 03;-
1;ABONO A ESTIMACIÓN;04;3702.68;14/4/2023;EST 04;-
1;ABONO A ESTIMACIÓN;05;4628.35;15/5/2023;EST 05;-
1;ABONO A CONTRATO;01;30000;29/4/2023;ABONO A ANTICIPO;-
1;ABONO A CONTRATO;02;10555.23;30/5/2023;ABONO;-
2;ESTIMACIÓN;01;2000;1/1/2023;EST 01;-
2;ESTIMACIÓN;02;4000;2/2/2023;EST 02;-
2;ESTIMACIÓN;03;6000;3/3/2023;EST 03;-
2;ESTIMACIÓN;04;8000;4/4/2023;EST 04;-
2;ESTIMACIÓN;05;10000;5/5/2023;EST 05;-
2;ABONO A ESTIMACIÓN;01;1851.34;11/1/2023;EST 01;-
2;ABONO A ESTIMACIÓN;02;3702.68;12/2/2023;EST 02;-
2;ABONO A ESTIMACIÓN;03;5554.02;13/3/2023;EST 03;-
2;ABONO A ESTIMACIÓN;04;7405.36;14/4/2023;EST 04;-
2;ABONO A ESTIMACIÓN;05;9256.7;15/5/2023;EST 05;-
2;ABONO A CONTRATO;01;60000;29/4/2023;ABONO A ANTICIPO;-
2;ABONO A CONTRATO;02;21110.46;30/5/2023;ABONO;-
3;ESTIMACIÓN;01;4000;1/1/2023;EST 01;-
3;ESTIMACIÓN;02;8000;2/2/2023;EST 02;-
3;ESTIMACIÓN;03;12000;3/3/2023;EST 03;-
3;ESTIMACIÓN;04;16000;4/4/2023;EST 04;-
3;ESTIMACIÓN;05;20000;5/5/2023;EST 05;-
3;ABONO A ESTIMACIÓN;01;3702.68;11/1/2023;EST 01;-
