FOLIO;CONCEPTO;NUMEROABONO;IMPORTE;FECHAOPERACION;OBSERVACIONES;HIPERVINCULO
1;ESTIMACIÓN;01;1000;1/1/2023;EST 01;-
1;ESTIMACIÓN;02;2000;2/2/2023;EST 02;-
1;ESTIMACIÓN;03;3000;3/3/2023;EST 03;-
1;ESTIMACIÓN;04;4000;4/4/2023;EST 04;-
1;ESTIMACIÓN;05;5000;5/5/2023;EST 05;-
1;ABONO A ESTIMACIÓN;01;90;11/1/2023;EST 01;-
1;ABONO A ESTIMACIÓN;02;180;12/2/2023;EST 02;-
1;ABONO A ESTIMACIÓN;03;270;13/3/2023;EST 03;-
1;ABONO A ESTIMACIÓN;04;360;14/4/2023;EST 04;-
1;ABONO A ESTIMACIÓN;05;450;15/5/2023;EST 05;-
1;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
1;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
2;ESTIMACIÓN;01;2000;1/1/2023;EST 01;-
2;ESTIMACIÓN;02;3000;2/2/2023;EST 02;-
2;ESTIMACIÓN;03;4000;3/3/2023;EST 03;-
2;ESTIMACIÓN;04;5000;4/4/2023;EST 04;-
2;ESTIMACIÓN;05;6000;5/5/2023;EST 05;-
2;ABONO A ESTIMACIÓN;01;180;11/1/2023;EST 01;-
2;ABONO A ESTIMACIÓN;02;270;12/2/2023;EST 02;-
2;ABONO A ESTIMACIÓN;03;360;13/3/2023;EST 03;-
2;ABONO A ESTIMACIÓN;04;450;14/4/2023;EST 04;-
2;ABONO A ESTIMACIÓN;05;540;15/5/2023;EST 05;-
2;ABONO A CONTRATO;01;500;29/4/2023;ABONO A ANTICIPO;-
2;ABONO A CONTRATO;02;500;30/5/2023;ABONO;-
3;ESTIMACIÓN;01;3000;1/1/2023;EST 01;-
3;ESTIMACIÓN;02;4000;2/2/2023;EST 02;-
3;ESTIMACIÓN;03;5000;3/3/2023;EST 03;-
3;ESTIMACIÓN;04;6000;4/4/2023;EST 04;-
3;ESTIMACIÓN;05;7000;5/5/2023;EST 05;-
3;ABONO A ESTIMACIÓN;01;270;11/1/2023;EST 01;-
3;ABONO A ESTIMACIÓN;02;360;12/2/2023;EST 02;-
3;ABONO A ESTIMACIÓN;03;450;13/3/2023;EST 03;-
